Selected,User ID,Vehicle Model,Time of Day,Battery Capacity (kWh),Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Distance Driven (since last charge) (km),Temperature (°C)
No,User_277,Hyundai Kona,Night,100,79.0023,3.89315,26.9774,11.2875,39.746,7.68436
No,User_278,Chevy Bolt,Night,78.3837,19.9169,2.80518,32.2117,10.471,205.644,10.3848
No,User_279,Chevy Bolt,Afternoon,62,73.2295,3.51635,23.6181,16.9711,153.597,35.8336
No,User_280,Chevy Bolt,Evening,75,15.059,3.21699,14.7679,15.6701,68.5232,28.0566
No,User_281,Nissan Leaf,Morning,62,12.1326,2.67469,40.1969,34.8691,92.1159,25.2035
No,User_282,Hyundai Kona,Morning,100,30.5331,2.30001,19.0211,35.1573,132.605,2.33112
No,User_283,Tesla Model 3,Afternoon,50,20.3535,2.42468,11.1619,26.1654,116.184,2.77032
No,User_284,BMW i3,Morning,50,6.47943,2.1335,25.963,37.2086,77.798,26.617
No,User_285,Tesla Model 3,Afternoon,100,14.0188,1.82724,6.29101,25.5435,22.5405,33.282
No,User_286,Hyundai Kona,Evening,85,61.8301,1.39952,49.1597,8.02178,80.9973,-2.34155
No,User_287,BMW i3,Afternoon,75,51.6217,1.30356,43.1614,28.1516,185.952,7.93696
No,User_288,Hyundai Kona,Afternoon,100,13.319,0.891296,21.6301,9.96973,87.3042,38.7714
No,User_289,Chevy Bolt,Night,85,37.6423,2.66701,19.5964,27.8982,153.597,-9.67993
No,User_290,BMW i3,Morning,75,70.6205,0.637027,18.3355,14.7382,188.464,-4.843
No,User_291,Chevy Bolt,Evening,75,74.4911,2.85908,32.9497,31.6543,160.679,26.3075
No,User_292,Tesla Model 3,Evening,75,32.5249,2.2875,31.5532,10.036,294.058,25.9267
No,User_293,Tesla Model 3,Night,100,78.3991,0.531885,29.7532,34.3011,119.789,-9.29605
No,User_294,BMW i3,Afternoon,50,65.3229,1.29238,41.8772,17.8405,32.146,-9.39537
No,User_295,BMW i3,Evening,62,30.6399,1.62934,46.8486,36.9562,151.511,21.0803
No,User_296,Hyundai Kona,Evening,85,78.1588,1.54813,7.34703,15.0642,114.766,20.831
No,User_297,Hyundai Kona,Afternoon,75,5.33784,1.34731,29.1545,39.5883,67.7173,29.2491
No,User_298,Chevy Bolt,Afternoon,75,29.3188,2.06267,36.7643,26.7407,200.525,6.32556
No,User_299,BMW i3,Evening,75,23.994,3.26954,32.934,20.6507,205.17,5.91802
No,User_300,Tesla Model 3,Afternoon,100,5.69952,1.08668,40.4826,16.5842,221.584,32.6345
No,User_301,Hyundai Kona,Morning,65.0471,54.529,0.643105,41.4942,9.76781,250.37,31.2473
No,User_302,Hyundai Kona,Evening,50,56.3246,3.35443,14.246,31.3422,174.139,-6.2565
No,User_303,Tesla Model 3,Afternoon,75,42.6429,2.76251,15.293,26.5752,197.668,21.1395
No,User_304,Hyundai Kona,Evening,75,65.2255,2.75999,18.0696,29.4359,206.988,4.06885
No,User_305,Chevy Bolt,Evening,100,23.5404,2.5926,3.50816,23.2201,192.857,14.5386
No,User_306,BMW i3,Night,75,18.5497,1.82888,13.8553,16.4838,46.2237,26.6949
No,User_307,Tesla Model 3,Morning,33.377,20.7632,2.68656,23.9928,30.692,155.217,8.31682
No,User_308,BMW i3,Morning,85,46.4548,3.93657,42.8385,5.06405,3.82453,26.5118
No,User_309,Hyundai Kona,Night,85,49.7493,2.00822,33.7023,18.586,177.27,31.4642
No,User_310,Hyundai Kona,Night,100,66.1749,1.59089,4.09605,37.055,19.8426,12.629
No,User_311,Tesla Model 3,Evening,85,42.6429,2.13988,12.4285,30.3456,50.0701,22.7722
No,User_312,Chevy Bolt,Morning,59.7941,49.8382,1.64782,20.87,12.2451,40.8437,-4.8438
No,User_313,Nissan Leaf,Night,75,50.6598,0.560031,41.8842,34.0238,206.668,14.0601
No,User_314,Tesla Model 3,Afternoon,62,6.88548,3.5002,29.4466,13.1514,270.382,4.05799
No,User_315,Nissan Leaf,Evening,75,64.7636,0.543359,31.4541,9.0014,213.731,-5.43197
No,User_316,Nissan Leaf,Morning,50,55.4209,3.67441,39.0804,11.678,204.671,-9.36618
No,User_317,Chevy Bolt,Evening,85,37.7716,4.61578,4.03466,32.3564,96.842,1.73086
No,User_318,Nissan Leaf,Evening,75,44.0656,0.738832,18.1362,37.8104,261.506,21.1235
No,User_319,Nissan Leaf,Afternoon,50,76.71,2.7181,37.7349,9.42085,189.898,20.6061
No,User_320,Chevy Bolt,Afternoon,75,6.52102,0.950054,34.4534,9.83501,86.1229,1.21577
No,User_321,Nissan Leaf,Night,85,23.0197,2.90971,23.68,20.8611,89.4205,12.0163
No,User_322,Nissan Leaf,Afternoon,100,62.3192,2.92474,22.4163,7.16245,22.6195,11.1265
No,User_323,Nissan Leaf,Morning,62,64.5224,1.72499,39.2471,38.1789,75.8317,0.39726
No,User_324,Tesla Model 3,Night,100,52.9967,3.5265,38.3693,6.4522,27.9309,14.1778
No,User_325,Tesla Model 3,Morning,75,74.7394,0.0953144,44.0505,27.743,56.3252,9.9902
No,User_326,Tesla Model 3,Morning,62,17.8905,3.70652,3.66025,25.2227,153.597,-4.30619
No,User_327,Chevy Bolt,Night,100,18.8488,2.41471,47.448,7.3214,237.051,-2.87696
No,User_328,Hyundai Kona,Afternoon,100,58.3762,1.87752,4.66967,33.8568,96.863,16.972
No,User_329,Nissan Leaf,Evening,62,57.8194,2.17047,25.963,31.9208,222.669,34.0448
No,User_330,Nissan Leaf,Afternoon,85,13.3246,1.38202,24.7428,12.3882,283.99,35.7049
No,User_331,Chevy Bolt,Morning,85,14.5035,2.24083,37.6599,11.9108,168.045,12.2474
No,User_332,Nissan Leaf,Morning,85,26.3447,1.97207,19.9515,17.6502,216.472,-2.05878
No,User_333,Tesla Model 3,Night,6.1689,50.597,3.47317,9.86003,27.9865,211.635,33.2343
No,User_334,Hyundai Kona,Morning,75,42.6429,1.07864,11.0502,17.5856,56.5447,19.3743
No,User_335,BMW i3,Night,62,103.813,3.52545,16.5914,17.6692,99.941,8.33016
No,User_336,Nissan Leaf,Night,62,70.3989,0.551534,20.7509,20.1583,240.335,-7.88088
No,User_337,Tesla Model 3,Afternoon,45.6265,77.1727,1.40913,17.573,11.7605,153.597,3.49838
No,User_338,BMW i3,Morning,62,62.1928,0.55521,20.4525,19.477,277.723,14.2763
No,User_339,Hyundai Kona,Afternoon,62,71.9115,2.88656,10.5528,21.3323,140.098,-4.76449
No,User_340,BMW i3,Evening,62,79.9781,0.919847,25.963,27.8579,295.824,6.24784
No,User_341,Tesla Model 3,Afternoon,100,5.77592,1.83646,33.7454,24.9857,96.3322,37.1012
No,User_342,BMW i3,Morning,50,53.8102,0.513006,22.3444,15.7913,116.731,-0.0328725
No,User_343,Chevy Bolt,Evening,100,38.6624,2.36506,26.7212,16.3158,257.883,29.1805
No,User_344,BMW i3,Morning,50,56.6933,2.39185,44.9952,32.99,140.311,25.1273
No,User_345,Nissan Leaf,Evening,85,40.1614,2.51797,28.48,13.37,93.9952,13.3544
No,User_346,Nissan Leaf,Morning,62,42.5174,0.929765,39.9126,7.23444,191.078,10.3332
No,User_347,Chevy Bolt,Afternoon,50,29.2984,1.8734,30.9794,37.1647,296.224,7.64081
No,User_348,Tesla Model 3,Morning,50,67.2252,0.504601,37.236,21.0142,57.5919,12.2652
No,User_349,Nissan Leaf,Night,85,42.6429,2.91688,17.926,27.9976,73.0474,-4.12763
No,User_350,Hyundai Kona,Night,50,76.7184,3.77491,44.1375,35.8525,247.408,27.9554
No,User_351,Nissan Leaf,Afternoon,62,60.9691,2.49696,6.68275,37.0493,266.821,20.4656
No,User_352,Nissan Leaf,Afternoon,62,48.3246,2.31164,19.5938,49.1375,161.403,3.49934
No,User_353,Tesla Model 3,Evening,62,65.5408,1.16065,31.859,37.49,78.6144,0.947645
No,User_354,BMW i3,Afternoon,100,68.7491,0.554637,10.7617,28.2929,284.846,13.7897
No,User_355,Nissan Leaf,Night,85,67.4374,1.81456,16.0993,14.9964,36.0602,34.0822
No,User_356,Chevy Bolt,Afternoon,75,10.4507,1.4283,39.8938,32.561,85.921,20.6349
No,User_357,BMW i3,Night,100,30.8057,1.03786,18.9799,18.3532,155.714,29.1144
No,User_358,Hyundai Kona,Afternoon,85,62.0957,2.47794,30.5287,8.86005,285.79,-8.55908
No,User_359,Tesla Model 3,Night,100,28.8641,2.11367,38.3441,37.4495,107,13.1945
No,User_360,Hyundai Kona,Evening,75,33.3705,2.48638,41.9292,7.40925,279.519,15.4184
No,User_361,BMW i3,Morning,77.6085,73.0905,1.75405,30.3888,9.59516,227.726,2.59425
No,User_362,BMW i3,Morning,75,26.9923,3.54898,46.5814,36.5005,237.511,25.1096
No,User_363,BMW i3,Night,85,6.93819,3.29096,13.2879,16.8863,230.319,1.20198
No,User_364,Hyundai Kona,Afternoon,50,42.2902,2.01229,37.8061,7.80673,242.453,36.8266
No,User_365,BMW i3,Afternoon,100,30.0361,1.64348,13.3729,35.9544,217.916,34.9546
No,User_366,Hyundai Kona,Morning,62,10.3861,1.24256,47.7665,21.4889,188.151,16.8305
No,User_367,BMW i3,Night,50,45.7195,2.87216,47.8426,31.2263,156.877,34.2978
No,User_368,Chevy Bolt,Afternoon,50,24.5996,2.00786,11.8202,29.2344,263.833,14.2055
No,User_369,BMW i3,Morning,62,23.147,3.28409,25.3995,10.9978,61.0473,15.6051
No,User_370,Hyundai Kona,Night,85,52.7164,0.562817,6.42256,34.4021,225.304,0.166998
No,User_371,Nissan Leaf,Evening,100,42.6429,2.27374,46.489,36.9416,264.9,36.5681
No,User_372,BMW i3,Afternoon,48.6369,68.253,1.632,29.2084,9.45976,50.413,37.5288
No,User_373,Nissan Leaf,Afternoon,85,56.4202,0.828873,25.4029,29.8484,12.8075,17.5968
No,User_374,Chevy Bolt,Night,75,52.9045,1.54696,15.5721,18.5429,36.7437,32.5739
No,User_375,Tesla Model 3,Morning,50,28.1635,2.29132,23.3892,29.7636,23.4739,15.4462
No,User_376,Chevy Bolt,Night,100,1.35673,1.5712,16.2676,23.8746,153.597,-6.55032
No,User_377,BMW i3,Morning,85,8.93043,3.77953,25.963,0.234317,275.079,1.41972
No,User_378,Nissan Leaf,Night,75,55.783,1.3768,46.3333,30.4736,10.88,14.2405
No,User_379,Nissan Leaf,Evening,85,16.6736,1.80928,32.9948,28.1562,281.888,33.7293
No,User_380,Hyundai Kona,Afternoon,100,13.2807,1.76144,59.1485,13.6074,257.608,4.20609
No,User_381,Nissan Leaf,Morning,50,7.66866,0.749904,25.4571,17.3616,53.3074,27.2589
No,User_382,Hyundai Kona,Evening,75,42.6429,3.61708,23.223,17.8582,71.3202,33.109
No,User_383,Tesla Model 3,Night,62,64.9429,3.63679,49.3191,15.3216,41.7623,12.2549
No,User_384,BMW i3,Morning,100,70.0608,3.39975,42.9457,15.2427,164.029,38.8724
No,User_385,Hyundai Kona,Morning,85,42.6429,1.32514,27.8544,24.6542,284.583,22.1654
No,User_386,Tesla Model 3,Evening,100,46.5597,1.66576,35.776,23.5557,197.529,1.6535
No,User_387,Nissan Leaf,Night,50,54.884,1.88677,6.98514,6.55598,127.071,30.5939
No,User_388,Nissan Leaf,Evening,50,13.7261,6.17642,12.484,21.0924,166.722,6.78635
No,User_389,Tesla Model 3,Night,75,74.2198,2.82916,3.56665,29.165,153.597,3.2051
No,User_390,Nissan Leaf,Evening,50,20.5814,1.53694,37.0266,31.6838,205.508,6.74177
No,User_391,Tesla Model 3,Evening,75,36.0476,1.64578,49.8519,7.46158,57.6589,6.8769
No,User_392,Hyundai Kona,Evening,62,31.7358,1.96196,11.1299,11.7393,87.2741,-9.56906
No,User_393,Hyundai Kona,Evening,85,64.5382,3.971,17.5602,32.9734,258.379,12.3264
No,User_394,Tesla Model 3,Night,85,41.5686,2.53433,27.8769,37.1092,240.385,-2.13407
No,User_395,Hyundai Kona,Afternoon,75,34.3757,3.14575,3.80655,35.3507,150.835,18.0001
No,User_396,Hyundai Kona,Evening,60.7893,12.1181,2.85449,7.99704,37.3139,256.226,20.9875
No,User_397,Hyundai Kona,Night,85,48.2725,3.64958,43.1423,10.3299,153.597,33.5475
No,User_398,Chevy Bolt,Afternoon,50,26.4021,0.958022,47.7591,10.5706,247.34,22.8837
No,User_399,BMW i3,Morning,62,54.627,2.23123,27.7731,37.763,246.294,-4.37366
No,User_400,Nissan Leaf,Morning,75,69.45,1.06621,49.4167,15.3072,150.112,37.8991
No,User_401,Chevy Bolt,Evening,85,66.1891,2.50146,2.53524,13.9932,69.74,21.8532
No,User_402,Hyundai Kona,Morning,75,13.6638,0.799134,14.3305,8.27592,209.091,36.0889
No,User_403,Tesla Model 3,Evening,71.6455,31.8102,3.67414,32.8373,32.9423,188.704,14.4831
No,User_404,Hyundai Kona,Evening,62,79.4623,2.89535,25.4125,18.2725,48.2316,32.5388
No,User_405,BMW i3,Afternoon,50,26.6152,1.31792,22.744,29.9432,193.004,28.898
No,User_406,Hyundai Kona,Morning,62,42.6429,0.813978,19.9348,22.6155,284.755,28.9726
No,User_407,Tesla Model 3,Evening,100,64.4033,1.46311,35.9285,14.2466,139.549,5.96763
No,User_408,BMW i3,Morning,75,41.5867,3.3058,39.7536,35.6602,53.0878,-3.17643
No,User_409,Hyundai Kona,Afternoon,75,76.4482,2.51512,19.7661,35.7634,131.788,18.5052
No,User_410,BMW i3,Morning,100,19.8988,1.84967,33.6361,30.7083,10.0283,22.1893
No,User_411,Nissan Leaf,Afternoon,46.8768,25.1009,3.7753,24.4346,30.5474,289.542,-8.676
No,User_412,Nissan Leaf,Afternoon,50,27.0471,1.10964,4.52163,33.4576,58.726,20.5654
No,User_413,Hyundai Kona,Afternoon,50,30.1847,2.97143,40.1825,7.26089,104.536,26.1756
No,User_414,BMW i3,Evening,85,15.3421,3.39245,43.4968,30.9455,172.294,36.0352
No,User_415,Tesla Model 3,Night,62,45.344,3.02357,11.2747,11.6565,277.644,37.9723
No,User_416,Hyundai Kona,Evening,50,60.2604,3.0304,31.223,11.4676,175.974,6.87287
No,User_417,Nissan Leaf,Morning,100,5.65018,0.639951,11.6674,25.6301,83.2655,23.0594
No,User_418,Nissan Leaf,Evening,85,32.4915,0.775972,47.2578,7.58756,143.61,17.163
No,User_419,Hyundai Kona,Evening,62,61.4607,2.46978,31.6504,10.9917,57.1636,-9.46904
No,User_420,BMW i3,Night,85,41.5789,1.077,35.4181,7.26985,149.935,21.277
No,User_421,Nissan Leaf,Morning,100,41.6029,1.49512,4.90972,13.5711,32.0487,18.0994
No,User_422,BMW i3,Afternoon,85,29.6979,3.91964,32.3031,21.4801,180.453,8.19911
No,User_423,Nissan Leaf,Afternoon,69.445,72.7157,0.682132,32.2534,28.1195,151.621,4.4858
No,User_424,Nissan Leaf,Morning,85,61.9271,0.798404,25.2746,27.1226,153.597,7.6852
No,User_425,Chevy Bolt,Evening,50,12.6668,2.31736,36.1576,30.6676,199.259,25.3342
No,User_426,Nissan Leaf,Night,100,78.9551,3.79656,41.3076,26.9441,91.2599,37.2072
No,User_427,Tesla Model 3,Night,100,64.9822,3.73476,38.4992,24.8178,133.724,1.17419
No,User_428,Hyundai Kona,Morning,85,37.287,1.90472,29.1488,10.4207,46.6467,6.23331
No,User_429,Hyundai Kona,Morning,100,72.0948,2.02282,7.42417,7.96453,255.117,-3.3116
No,User_430,BMW i3,Evening,62,65.7513,0.876245,42.5141,20.2436,80.8273,18.9596
No,User_431,Nissan Leaf,Night,3.9766,42.8656,2.19351,33.8846,6.19058,65.3404,-5.56034
No,User_432,Tesla Model 3,Morning,62,33.3982,2.45501,14.4209,15.4131,23.1069,27.2833
No,User_433,BMW i3,Evening,62,46.5118,2.80935,10.4812,15.912,223.26,38.452
No,User_434,Chevy Bolt,Evening,50,74.5405,3.59108,16.9359,28.3747,31.4384,10.7468
No,User_435,BMW i3,Morning,100,53.8383,0.948193,25.606,39.9075,207.672,4.71993
No,User_436,BMW i3,Night,1.53281,42.4662,1.38357,25.963,5.16176,51.9185,32.4735
No,User_437,Nissan Leaf,Afternoon,75,42.6429,2.66235,30.7235,23.5603,249.808,39.0731
No,User_438,Chevy Bolt,Evening,100,76.4993,3.00771,37.4455,31.9489,59.5915,45.7533
No,User_439,BMW i3,Afternoon,62,5.61487,2.4596,18.5612,54.893,127.335,5.26404
No,User_440,Tesla Model 3,Evening,50,26.4682,1.3773,15.8633,18.3432,79.4308,14.939
No,User_441,Tesla Model 3,Night,50,6.87389,1.49448,42.8358,23.711,122.643,38.7057
No,User_442,Hyundai Kona,Afternoon,67.542,21.5809,1.26552,32.6319,29.8779,124.119,-5.86157
No,User_443,Chevy Bolt,Morning,75,7.56958,3.27188,40.8404,36.5444,299.564,26.7339
No,User_444,Chevy Bolt,Evening,100,49.5455,0.67494,27.0077,5.38494,60.5872,36.8108
No,User_445,Hyundai Kona,Morning,85,72.8301,1.60785,45.3792,5.7087,153.597,31.7823
No,User_446,BMW i3,Morning,100,71.1256,0.823474,14.1671,11.3486,50.6199,-1.71448
No,User_447,Chevy Bolt,Night,100,36.2444,0.697324,12.8309,9.74213,125.234,-7.50141
No,User_448,Tesla Model 3,Morning,127.28,53.3992,3.43051,49.7698,15.32,215.464,31.6193
No,User_449,Tesla Model 3,Evening,107.432,5.74644,0.58103,7.00764,20.6526,140.004,16.9762
No,User_450,Nissan Leaf,Morning,62,9.73704,3.07031,3.64528,39.6625,157.877,13.5202
No,User_451,Chevy Bolt,Morning,85,39.4622,1.64541,40.9984,21.6728,53.9357,-1.26085
No,User_452,BMW i3,Evening,85,63.8306,2.45865,38.1391,6.7599,295.987,13.9192
No,User_453,Hyundai Kona,Morning,85,72.948,3.75795,14.7901,10.5217,14.8917,34.4222
No,User_454,Hyundai Kona,Night,62,21.0978,3.46806,37.2628,25.5517,197.849,-3.52521
No,User_455,BMW i3,Evening,62,58.7914,2.47172,34.2418,19.2159,29.976,-4.11952
No,User_456,Nissan Leaf,Night,62,65.1839,2.40834,38.5777,33.1865,254.217,17.1492
No,User_457,Hyundai Kona,Morning,85,72.55,0.359917,35.1127,32.0699,44.4173,9.68797
No,User_458,Chevy Bolt,Afternoon,100,57.5569,3.3415,13.0363,14.2581,249.419,24.2484
No,User_459,Nissan Leaf,Night,52.3322,67.4143,3.04387,48.6302,11.1261,206.548,32.3557
No,User_460,Chevy Bolt,Night,75,21.0305,2.84442,8.33299,8.84846,157.676,35.8006
No,User_461,Tesla Model 3,Morning,62,16.4721,1.77172,22.1145,24.1098,141.289,39.9117
No,User_462,Nissan Leaf,Afternoon,50,78.3069,2.40016,11.811,29.7631,20.6225,4.69097
No,User_463,Hyundai Kona,Evening,85,38.5997,3.91141,31.4714,22.3099,116.303,2.03734
No,User_464,Nissan Leaf,Afternoon,85,26.5665,1.06556,43.3759,32.627,32.8407,37.6654
No,User_465,Nissan Leaf,Evening,100,23.0223,2.64564,6.99903,5.0561,230.797,4.61997
No,User_466,Nissan Leaf,Morning,85,62.0496,1.17772,31.375,35.3448,205.23,11.0342
No,User_467,Nissan Leaf,Afternoon,85,58.0911,2.6494,7.06965,30.9335,39.4042,-6.24886
No,User_468,Chevy Bolt,Morning,75,63.2972,0.833545,30.6867,5.54113,153.597,7.95766
No,User_469,Tesla Model 3,Night,39.2974,21.0022,1.86344,26.2327,33.5818,216.686,37.1996
No,User_470,BMW i3,Afternoon,62,36.3229,2.00541,19.4135,32.6202,254.269,-1.52479
No,User_471,Nissan Leaf,Evening,129.524,65.4509,3.91926,47.4435,11.0576,117.86,10.8377
No,User_472,Hyundai Kona,Night,85,46.9233,2.21934,38.702,16.961,129.325,11.7963
No,User_473,Nissan Leaf,Evening,62,45.3551,1.46428,25.963,34.7536,191.278,29.736
No,User_474,Hyundai Kona,Night,75,44.7294,1.35472,36.4736,23.6848,174.431,12.8076
No,User_475,Chevy Bolt,Evening,100,57.8597,3.10478,40.175,36.9438,129.613,-7.46239
No,User_476,Hyundai Kona,Evening,85,25.8926,2.5747,23.4353,36.6468,75.874,-6.6987
No,User_477,BMW i3,Morning,50,65.8986,2.1552,39.4594,10.0776,161.196,26.1537
No,User_478,Tesla Model 3,Night,75,34.802,0.85205,16.5967,28.328,153.597,14.2243
No,User_479,Hyundai Kona,Morning,3.83852,18.8695,3.98546,44.0108,13.0084,185.647,-9.97026
No,User_480,Hyundai Kona,Morning,78.8432,77.3467,1.81652,7.85189,37.609,153.597,-5.39018
No,User_481,Tesla Model 3,Morning,100,31.7311,2.64898,68.5426,16.749,107.682,-9.30312
No,User_482,BMW i3,Morning,100,41.2707,3.49091,6.79236,27.6093,244.032,-8.03742
No,User_483,Nissan Leaf,Evening,75,41.9506,1.021,39.257,21.5977,44.2258,11.0508
No,User_484,Hyundai Kona,Morning,85,46.4121,0.851404,28.1553,32.5927,87.224,-6.86
No,User_485,Tesla Model 3,Morning,75,21.4096,2.68875,24.6257,14.8977,86.9049,29.2987
No,User_486,Chevy Bolt,Morning,100,54.996,1.24625,23.0931,36.968,11.2155,3.24425
No,User_487,Tesla Model 3,Evening,100,7.73903,2.10449,36.4538,15.4883,100.993,-9.73317
No,User_488,Chevy Bolt,Night,62,11.4834,3.62154,21.4799,13.0268,267.401,-9.30582
No,User_489,BMW i3,Evening,75,39.47,2.39971,21.7652,7.40123,73.2134,-2.09462
No,User_490,Nissan Leaf,Evening,100,27.6116,2.17472,41.0641,5.51911,95.4835,34.2095
No,User_491,Tesla Model 3,Evening,85,15.2542,3.30846,6.76253,1.6408,263.828,-2.25832
No,User_492,Hyundai Kona,Night,85,45.0685,1.71258,41.0331,7.39845,76.4839,37.0142
No,User_493,BMW i3,Morning,100,10.1552,1.5201,41.1805,6.57126,156.084,7.54124
No,User_494,Tesla Model 3,Morning,75,54.9977,3.47863,34.5846,36.0612,2.90837,22.3253
No,User_495,Hyundai Kona,Night,75,64.8705,3.23391,38.9882,5.19759,90.1348,27.3341
No,User_496,Tesla Model 3,Night,50,25.1323,1.89986,16.2055,32.6159,127.43,40.2555
No,User_497,Chevy Bolt,Afternoon,100,14.4627,3.40012,44.0404,18.4133,55.7448,1.7817
No,User_498,Tesla Model 3,Morning,100,79.4181,2.44888,40.5397,21.0256,54.6614,-0.380387
No,User_499,Tesla Model 3,Evening,75,44.4185,2.34437,19.663,6.18554,116.421,36.3883
No,User_500,Tesla Model 3,Evening,104.917,74.0204,2.68605,31.7034,16.6284,171.662,17.8907
No,User_501,BMW i3,Morning,85,36.5054,2.25553,11.4088,18.472,272.298,11.1023
No,User_502,Tesla Model 3,Night,50,39.0671,3.86959,16.6747,18.3995,110.696,18.6175
No,User_503,Hyundai Kona,Afternoon,50,63.794,0.780727,25.3377,18.773,208.105,22.7367
No,User_504,Chevy Bolt,Evening,85,67.4512,0.849602,45.0192,28.3423,277.489,20.7052
No,User_505,Chevy Bolt,Afternoon,62,56.8885,3.00285,4.86618,28.2538,153.074,29.9558
No,User_506,Tesla Model 3,Evening,75,21.8194,1.98925,25.963,34.2578,199.573,38.0842
No,User_507,BMW i3,Evening,62,47.0129,1.66689,32.3518,5.89013,18.7298,15.7239
No,User_508,BMW i3,Morning,75,73.6197,3.51241,25.2763,24.7532,253.846,36.1588
No,User_509,Hyundai Kona,Evening,85,42.6429,1.49214,35.5026,23.1083,153.597,5.84446
No,User_510,Tesla Model 3,Afternoon,51.402,41.9436,2.53696,11.3362,23.0531,192.782,-0.309294
No,User_511,Chevy Bolt,Afternoon,50,37.1629,2.5098,16.7136,34.2572,177.97,26.5159
No,User_512,BMW i3,Morning,75,34.661,3.17632,20.9394,8.04524,207.736,5.41306
No,User_513,Tesla Model 3,Evening,99.5369,42.6429,1.81559,24.3046,28.0134,33.4542,37.8885
No,User_514,BMW i3,Afternoon,174.41,8.89116,2.88439,48.7358,8.58646,153.597,25.2147
No,User_515,BMW i3,Night,62,29.3793,3.71339,9.76164,38.9703,269.377,26.352
No,User_516,Chevy Bolt,Morning,85,6.53837,0.476489,25.963,38.991,91.9242,30.0548
No,User_517,Nissan Leaf,Night,50,70.39,1.63747,25.963,32.2614,188.31,-7.64344
No,User_518,Hyundai Kona,Afternoon,62,16.081,3.2689,36.7281,69.4077,208.9,38.0785
No,User_519,Hyundai Kona,Night,75,7.55757,1.50067,43.2339,28.5247,22.222,39.7028
No,User_520,Chevy Bolt,Morning,54.3709,15.8078,0.727233,7.18403,30.3131,53.3112,22.804
No,User_521,BMW i3,Night,85,60.1237,2.96901,30.6593,19.6273,205.553,34.6322
No,User_522,Tesla Model 3,Afternoon,85,67.9394,1.22306,17.8997,0.307085,109.009,5.54313
No,User_523,BMW i3,Night,50,70.0403,2.93427,32.4103,16.5765,149.706,-1.33659
No,User_524,Chevy Bolt,Night,85,68.5555,0.620746,6.32636,13.3656,40.6126,-7.03122
No,User_525,Hyundai Kona,Night,75,36.5658,1.59162,46.2654,23.2899,153.597,6.77492
No,User_526,BMW i3,Evening,100,20.4536,0.919791,26.5046,9.3188,200.18,7.5018
No,User_527,Hyundai Kona,Afternoon,100,9.71695,2.3681,43.5554,25.719,100.959,5.93783
No,User_528,Tesla Model 3,Night,62,61.6843,0.674301,13.4128,29.8407,277.818,37.44
No,User_529,Hyundai Kona,Afternoon,62,28.5789,0.97728,18.8905,36.5578,268.456,17.6751
No,User_530,Hyundai Kona,Night,62,21.134,3.89852,32.292,10.7272,72.3538,-1.21212
No,User_531,Nissan Leaf,Morning,85,46.766,0.897608,1.47255,36.6989,122.105,6.27002
No,User_532,Nissan Leaf,Morning,87.4886,17.7598,2.71526,42.8224,29.8653,175.125,28.1199
No,User_533,Nissan Leaf,Morning,50,79.3901,2.71431,19.1378,21.8527,153.597,14.4613
No,User_534,Hyundai Kona,Night,100,21.0692,3.72405,28.509,37.4077,222.288,5.92205
No,User_535,Chevy Bolt,Afternoon,50,19.4025,2.05287,5.01084,12.0964,111.923,-9.27505
No,User_536,Hyundai Kona,Morning,62,42.6429,1.74437,27.8315,36.423,63.4562,8.4134
No,User_537,Chevy Bolt,Evening,85,44.8701,1.58734,41.4195,34.2388,63.1903,7.06699
No,User_538,Chevy Bolt,Morning,62,46.2117,3.41317,48.9729,28.8349,36.7372,15.6931
No,User_539,Nissan Leaf,Morning,85,42.6429,4.14175,34.6921,32.2061,153.597,-8.77123
No,User_540,BMW i3,Evening,62,57.0384,2.18788,43.9674,8.95809,181.045,8.22344
No,User_541,Tesla Model 3,Morning,62,32.9396,3.26384,38.7063,29.9627,29.207,-3.48583
No,User_542,Nissan Leaf,Night,75,63.0236,1.32823,8.55901,17.5706,190.238,-2.81544
No,User_543,Nissan Leaf,Night,51.1129,33.014,2.66167,31.904,31.9233,20.4719,18.7966
No,User_544,BMW i3,Morning,62,56.6175,1.25543,25.963,37.142,107.008,28.9399
No,User_545,Tesla Model 3,Afternoon,50,53.174,0.626534,19.1492,26.6878,105.451,37.8913
No,User_546,Hyundai Kona,Afternoon,50,51.8707,3.86072,28.7468,20.1904,261.225,-0.22755
No,User_547,Hyundai Kona,Morning,100,64.308,2.47266,33.3085,14.1951,232.111,-7.67663
No,User_548,Nissan Leaf,Evening,75,4.28832,2.45986,38.8417,41.8681,107.397,-8.96394
No,User_549,Tesla Model 3,Night,85,56.7276,2.01401,11.9263,19.1448,288.198,10.5707
No,User_550,Nissan Leaf,Night,75,44.91,0.893941,16.7492,32.1605,14.1265,27.1861
No,User_551,Chevy Bolt,Night,85,13.8766,2.16452,46.7593,9.88644,192.988,37.2523
No,User_552,Nissan Leaf,Morning,62,39.3712,1.41138,26.0376,27.0825,79.7557,27.3471
No,User_553,Nissan Leaf,Night,46.6695,11.7585,3.04225,34.72,13.2886,272.88,-5.12305
No,User_554,Hyundai Kona,Morning,100,49.8978,2.40151,44.0475,37.8733,233.243,18.0083
